,id,project_code,pq_num,po_so_num,asndn_num,country,managed_by,fulfill_via,vendor_inco_term,shipment_mode,pq_first_sent_to_client_date,po_sent_to_vendor_date,scheduled_delivery_date,delivered_to_client_date,delivery_recorded_date,product_group,sub_classification,vendor,moleculetest_type,brand,dosage,dosage_form,unit_of_measure_per_pack,line_item_quantity,line_item_value,pack_price,unit_price,manufacturing_site,first_line_designation,weight_kilograms,freight_cost_usd,line_item_insurance_usd,po_sent_to_vendor_date_year,scheduled_delivery_date_year,delivered_to_client_date_year,delivery_recorded_date_year,pq_first_sent_to_client_date_year,moleculetest_type_processed,cluster_labels,active_ingredients,description_type,manufacturing_location,manufacturers,days_init_client_vendor,days_vendor_deliver_planned,days_vendor_deliver_actual,delivery_delay,recorded_date_lag,days_from__arrival,days_from_vendor_arrival
9489,85779,113-ZW-T30,FPQ-6470,SO-37840,DN-2307,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,2010-10-13,,2011-09-06,2011-09-05,2011-09-05,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30,6392,27741.28,4.34,0.14,Hetero Unit III Hyderabad IN,True,539.0,1709.78,59.81,,2011,2011,2011,2010.0,efavirenz,2,Efavirenz,,"Hyderabad, IN",Hetero,,,,-1.0,0.0,327.0,
9490,85780,114-UG-T30,FPQ-8048,SO-40220,DN-2313,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,2011-07-13,,2011-09-22,2011-08-26,2011-08-26,ARV,Adult,SCMS from RDC,Lamivudine,Generic,150mg,Tablet,60,1946,4534.18,2.33,0.04,Hetero Unit III Hyderabad IN,True,195.0,2070.68,7.48,,2011,2011,2011,2011.0,lamivudine,0,Lamivudine,,"Hyderabad, IN",Hetero,,,,-27.0,0.0,44.0,
9491,85781,109-TZ-T30,FPQ-7675,SO-39751,DN-2314,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,2011-05-18,,2011-09-30,2011-08-30,2011-08-30,ARV,Adult,SCMS from RDC,Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,4279,28113.03,6.57,0.22,Mylan (formerly Matrix) Nashik,True,259.0,1553.64,46.39,,2011,2011,2011,2011.0,tenofovir disoproxil fumarate,7,Tenofovir Disoproxil Fumarate,,"Nashik, IN",Mylan,,,,-31.0,0.0,104.0,
9493,85783,111-MZ-T30,FPQ-7053,SO-38680,DN-2316,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,2011-01-24,,2011-09-30,2011-09-15,2011-09-15,ARV,Adult,SCMS from RDC,Lamivudine,Generic,150mg,Tablet,60,3357,7821.81,2.33,0.04,Hetero Unit III Hyderabad IN,True,181.0,315.51,12.91,,2011,2011,2011,2011.0,lamivudine,0,Lamivudine,,"Hyderabad, IN",Hetero,,,,-15.0,0.0,234.0,
9494,85784,110-ZM-T30,FPQ-7085,SO-38741,DN-2322,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,2011-02-03,,2011-09-29,2011-08-29,2011-08-29,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60,20927,52526.77,2.51,0.04,"Strides, Bangalore, India.",False,1047.0,8647.16,86.67,,2011,2011,2011,2011.0,nevirapine,1,Nevirapine,,"Bangalore, IN",Strides,,,,-31.0,0.0,207.0,
9495,85786,111-MZ-T30,FPQ-7053,SO-40410,DN-2335,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,2011-01-24,,2011-09-20,2011-09-30,2011-09-30,ARV,Adult,SCMS from RDC,Stavudine,Generic,30mg,Capsule,60,538,753.2,1.4,0.02,"Aurobindo Unit III, India",True,43.0,888.93,1.24,,2011,2011,2011,2011.0,stavudine,9,Stavudine,,"Telangana, IN",Aurobindo,,,,10.0,0.0,249.0,
9496,85787,110-ZM-T30,FPQ-7233,SO-39050,DN-2341,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,2011-03-01,,2011-09-21,2011-09-26,2011-09-26,ARV,Adult,SCMS from RDC,Zidovudine,Generic,300mg,Tablet,60,1917,13821.57,7.21,0.12,Hetero Unit III Hyderabad IN,True,2629.0,3139.96,22.81,,2011,2011,2011,2011.0,zidovudine,6,Zidovudine,,"Hyderabad, IN",Hetero,,,,5.0,0.0,209.0,
9498,85789,114-UG-T30,FPQ-7162,SO-38803,DN-2344,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,2011-02-14,,2011-09-30,2011-09-26,2011-09-26,ARV,Adult,SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,5000,41150.0,8.23,0.27,Mylan (formerly Matrix) Nashik,True,607.0,4911.39,67.9,,2011,2011,2011,2011.0,lamivudine tenofovir disoproxil fumarate,7,Lamivudine/Tenofovir Disoproxil Fumarate,,"Nashik, IN",Mylan,,,,-4.0,0.0,224.0,
9500,85791,105-GY-T30,FPQ-8024,SO-40450,DN-2361,Guyana,PMO - US,From RDC,N/A - From RDC,Air,2011-08-19,,2011-12-15,2011-09-28,2011-09-28,ARV,Pediatric,SCMS from RDC,Efavirenz,Generic,200mg,Capsule,90,106,940.22,8.87,0.1,"Aurobindo Unit III, India",False,1047.0,4338.44,1.55,,2011,2011,2011,2011.0,efavirenz,2,Efavirenz,,"Telangana, IN",Aurobindo,,,,-78.0,0.0,40.0,
9501,85792,100-ZW-T30,FPQ-7559,SO-39551,DN-2362,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,2011-04-29,,2011-10-21,2011-10-21,2011-10-21,ARV,Pediatric,SCMS from RDC,Lamivudine/Zidovudine,Generic,30/60mg,Tablet - FDC,60,4980,16185.0,3.25,0.05,Mylan (formerly Matrix) Nashik,False,1047.0,502.49,26.71,,2011,2011,2011,2011.0,lamivudine zidovudine,6,Lamivudine/Zidovudine,,"Nashik, IN",Mylan,,,,0.0,0.0,175.0,
9502,85795,109-TZ-T30,FPQ-7675,SO-39752,DN-2374,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,2011-05-18,,2011-09-30,2011-09-23,2011-09-23,ARV,Adult,SCMS from RDC,Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,600/200/300mg,Tablet - FDC,30,6840,136252.8,19.92,0.66,Mylan (formerly Matrix) Nashik,True,778.0,0.0,224.82,,2011,2011,2011,2011.0,efavirenz emtricitabine tenofovir disoproxil fumarate,7,Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,,"Nashik, IN",Mylan,,,,-7.0,0.0,128.0,
9503,85796,105-GY-T30,FPQ-8024,SO-40450,DN-2381,Guyana,PMO - US,From RDC,N/A - From RDC,Air,2011-08-19,,2011-12-15,2011-10-05,2011-10-05,ARV,Adult,SCMS from RDC,Lamivudine,Generic,150mg,Tablet,60,696,1621.68,2.33,0.04,"Aurobindo Unit III, India",True,33.0,1002.59,2.68,,2011,2011,2011,2011.0,lamivudine,0,Lamivudine,,"Telangana, IN",Aurobindo,,,,-71.0,0.0,47.0,
9504,85797,151-NG-T30,FPQ-7812,SO-40721,DN-2393,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2011-06-06,,2011-12-05,2011-10-17,2011-10-17,ARV,Adult,SCMS from RDC,Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,17038,152830.86,8.97,0.3,"Aurobindo Unit III, India",True,1722.0,21326.73,252.17,,2011,2011,2011,2011.0,emtricitabine tenofovir disoproxil fumarate,7,Emtricitabine/Tenofovir Disoproxil Fumarate,,"Telangana, IN",Aurobindo,,,,-49.0,0.0,133.0,
9506,85799,104-CI-T30,FPQ-8295,SO-40770,DN-2405,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,2011-08-25,,2011-11-11,2011-10-31,2011-10-31,ARV,Adult,SCMS from RDC,Abacavir/Lamivudine,Generic,600/300mg,Tablet - FDC,30,2790,62775.0,22.5,0.75,Mylan (formerly Matrix) Nashik,False,1047.0,3274.41,103.58,,2011,2011,2011,2011.0,abacavir lamivudine,5,Abacavir/Lamivudine,,"Nashik, IN",Mylan,,,,-11.0,0.0,67.0,
9509,85802,113-ZW-T30,FPQ-7052,SO-38513,DN-2410,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,2011-01-19,,2011-11-14,2011-11-21,2011-11-21,ARV,Adult,SCMS from RDC,Lamivudine/Stavudine,Generic,150/30mg,Tablet - FDC,60,4593,13549.35,2.95,0.05,"Strides, Bangalore, India.",False,1047.0,481.71,22.36,,2011,2011,2011,2011.0,lamivudine stavudine,9,Lamivudine/Stavudine,,"Bangalore, IN",Strides,,,,7.0,0.0,306.0,
9510,85803,104-CI-T30,FPQ-8295,SO-40750,DN-2420,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,2011-08-25,,2011-12-09,2011-11-19,2011-11-19,ARV,Adult,SCMS from RDC,Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,14480,129885.6,8.97,0.3,"Aurobindo Unit III, India",False,1047.0,3296.34,214.31,,2011,2011,2011,2011.0,emtricitabine tenofovir disoproxil fumarate,7,Emtricitabine/Tenofovir Disoproxil Fumarate,,"Telangana, IN",Aurobindo,,,,-20.0,0.0,86.0,
9512,85805,110-ZM-T30,FPQ-7767,SO-40271,DN-2431,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,2011-07-26,,2012-02-28,2011-11-28,2011-11-28,ARV,Adult,SCMS from RDC,Abacavir,Generic,300mg,Tablet,60,2548,38321.92,15.04,0.25,Mylan (formerly Matrix) Nashik,True,257.0,361.73,63.23,,2012,2011,2011,2011.0,abacavir,5,Abacavir,,"Nashik, IN",Mylan,,,,-92.0,0.0,125.0,
9513,85806,113-ZW-T30,FPQ-7052,SO-38521,DN-2441,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,2011-01-19,,2011-12-07,2011-12-09,2011-12-09,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30,6392,26335.04,4.12,0.14,Mylan (formerly Matrix) Nashik,False,1047.0,5216.63,43.45,,2011,2011,2011,2011.0,efavirenz,2,Efavirenz,,"Nashik, IN",Mylan,,,,2.0,0.0,324.0,
9514,85807,113-ZW-T30,FPQ-7560,SO-39450,DN-2442,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,2011-04-26,,2011-12-14,2011-12-09,2011-12-09,ARV,Adult,SCMS from RDC,Zidovudine,Generic,300mg,Tablet,60,18534,130108.68,7.02,0.12,Hetero Unit III Hyderabad IN,True,1013.0,5216.63,214.68,,2011,2011,2011,2011.0,zidovudine,6,Zidovudine,,"Hyderabad, IN",Hetero,,,,-5.0,0.0,227.0,
9515,85808,151-NG-T30,FPQ-8364,SO-40651,DN-2453,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2011-08-29,,2012-03-02,2011-12-18,2011-12-18,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30,10944,46183.68,4.22,0.14,"Strides, Bangalore, India.",True,726.0,15322.73,76.2,,2012,2011,2011,2011.0,efavirenz,2,Efavirenz,,"Bangalore, IN",Strides,,,,-75.0,0.0,111.0,
9518,85813,101-CD-T30,FPQ-8840,SO-41130,DN-2492,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,2011-11-21,,2012-03-16,2012-02-14,2012-02-14,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30,4,16.48,4.12,0.14,"Strides, Bangalore, India.",False,1047.0,456.17,0.02,,2012,2012,2012,2011.0,efavirenz,2,Efavirenz,,"Bangalore, IN",Strides,,,,-31.0,0.0,85.0,
9519,85814,101-CD-T30,FPQ-8840,SO-41131,DN-2493,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,2011-11-21,,2012-03-16,2012-02-14,2012-02-14,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,174,1914.0,11.0,0.18,Mylan (formerly Matrix) Nashik,False,1047.0,456.17,2.68,,2012,2012,2012,2011.0,lamivudine nevirapine zidovudine,3,Lamivudine/Nevirapine/Zidovudine,,"Nashik, IN",Mylan,,,,-31.0,0.0,85.0,
9520,85815,101-CD-T30,FPQ-8840,SO-41131,DN-2493,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,2011-11-21,,2012-03-16,2012-02-14,2012-02-14,ARV,Adult,SCMS from RDC,Lopinavir/Ritonavir,Generic,200/50mg,Tablet,120,23,776.02,33.74,0.28,"Aurobindo Unit III, India",False,1047.0,456.17,1.09,,2012,2012,2012,2011.0,lopinavir ritonavir,8,Lopinavir/Ritonavir,,"Telangana, IN",Aurobindo,,,,-31.0,0.0,85.0,
9521,85816,101-CD-T30,FPQ-8840,SO-41132,DN-2494,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,2011-11-21,,2012-03-16,2012-02-14,2012-02-14,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,67,553.42,8.26,0.14,"Aurobindo Unit III, India",False,1047.0,456.18,0.78,,2012,2012,2012,2011.0,lamivudine zidovudine,6,Lamivudine/Zidovudine,,"Telangana, IN",Aurobindo,,,,-31.0,0.0,85.0,
9522,85817,101-CD-T30,FPQ-8840,SO-41135,DN-2497,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,2011-11-21,,2012-03-16,2012-02-14,2012-02-14,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,41,338.66,8.26,0.14,"Aurobindo Unit III, India",False,1047.0,912.36,0.47,,2012,2012,2012,2011.0,lamivudine zidovudine,6,Lamivudine/Zidovudine,,"Telangana, IN",Aurobindo,,,,-31.0,0.0,85.0,
9524,85820,101-CD-T30,FPQ-8840,SO-41143,DN-2507,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,2011-11-21,,2012-03-16,2012-04-11,2012-04-11,ARV,Adult,SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,15,91.2,6.08,0.2,Mylan (formerly Matrix) Nashik,False,1047.0,3436.14,0.13,,2012,2012,2012,2011.0,lamivudine tenofovir disoproxil fumarate,7,Lamivudine/Tenofovir Disoproxil Fumarate,,"Nashik, IN",Mylan,,,,26.0,0.0,142.0,
9525,85821,101-CD-T30,FPQ-8840,SO-41144,DN-2508,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,2011-11-21,,2012-03-16,2012-03-14,2012-03-14,ARV,Adult,SCMS from RDC,Zidovudine,Generic,300mg,Tablet,60,187,1312.74,7.02,0.12,Hetero Unit III Hyderabad IN,True,125.0,1554.64,1.84,,2012,2012,2012,2011.0,zidovudine,6,Zidovudine,,"Hyderabad, IN",Hetero,,,,-2.0,0.0,114.0,
9526,85822,101-CD-T30,FPQ-8840,SO-41148,DN-2512,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,2011-11-21,,2012-03-16,2012-03-14,2012-03-14,ARV,Adult,SCMS from RDC,Zidovudine,Generic,300mg,Tablet,60,2197,15422.94,7.02,0.12,Hetero Unit III Hyderabad IN,False,1047.0,5636.3,21.62,,2012,2012,2012,2011.0,zidovudine,6,Zidovudine,,"Hyderabad, IN",Hetero,,,,-2.0,0.0,114.0,
9527,85999,151-NG-T30,FPQ-11864,SO-44921,DN-3322,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2013-03-14,,2013-09-20,2013-09-12,2013-09-12,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30,8917,29693.61,3.33,0.11,"Aurobindo Unit III, India",True,857.0,34218.36,36.73,,2013,2013,2013,2013.0,efavirenz,2,Efavirenz,,"Telangana, IN",Aurobindo,,,,-8.0,0.0,182.0,
9528,85823,113-ZW-T30,FPQ-7052,SO-38520,DN-2519,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,2011-01-19,,2012-02-29,2012-02-16,2012-02-16,ARV,Adult,SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,10114,61493.12,6.08,0.2,Mylan (formerly Matrix) Nashik,False,1047.0,4777.08,101.46,,2012,2012,2012,2011.0,lamivudine tenofovir disoproxil fumarate,7,Lamivudine/Tenofovir Disoproxil Fumarate,,"Nashik, IN",Mylan,,,,-13.0,0.0,393.0,
9529,85824,101-CD-T30,FPQ-8840,SO-41387,DN-2528,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,2011-11-21,,2012-03-22,2012-03-22,2012-03-22,ARV,Adult,SCMS from RDC,Lamivudine,Generic,150mg,Tablet,60,220,512.6,2.33,0.04,Hetero Unit III Hyderabad IN,True,12.0,91.43,0.72,,2012,2012,2012,2011.0,lamivudine,0,Lamivudine,,"Hyderabad, IN",Hetero,,,,0.0,0.0,122.0,
9530,85825,104-CI-T30,FPQ-8295,SO-40792,DN-2531,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,2011-08-25,,2012-02-29,2012-02-08,2012-02-08,ARV,Pediatric,SCMS from RDC,Didanosine,Generic,200mg,Delayed-release capsules,30,650,7150.0,11.0,0.37,"Aurobindo Unit III, India",True,61.0,1572.97,11.8,,2012,2012,2012,2011.0,didanosine,9,Didanosine,,"Telangana, IN",Aurobindo,,,,-21.0,0.0,167.0,
9532,85827,106-HT-T30,FPQ-9056,SO-41300,DN-2535,Haiti,PMO - US,From RDC,N/A - From RDC,Air,2011-12-20,,2012-03-02,2012-03-12,2012-03-12,ARV,Pediatric,SCMS from RDC,Efavirenz,Generic,50mg,Capsule,30,1680,3763.2,2.24,0.07,"Aurobindo Unit III, India",False,1047.0,95269.39,5.28,,2012,2012,2012,2011.0,efavirenz,2,Efavirenz,,"Telangana, IN",Aurobindo,,,,10.0,0.0,83.0,
9534,85829,104-CI-T30,FPQ-8787,SO-41160,DN-2552,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2011-11-11,,2012-03-19,2012-02-24,2012-02-24,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30,12446,51277.52,4.12,0.14,"Strides, Bangalore, India.",False,1047.0,9657.88,71.89,,2012,2012,2012,2011.0,efavirenz,2,Efavirenz,,"Bangalore, IN",Strides,,,,-24.0,0.0,105.0,
9536,85830,104-CI-T30,FPQ-8363,SO-40840,DN-2553,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,2011-08-29,,2012-03-30,2012-02-24,2012-02-24,ARV,Adult,SCMS from RDC,Abacavir/Lamivudine,Generic,600/300mg,Tablet - FDC,30,1260,28350.0,22.5,0.75,Mylan (formerly Matrix) Nashik,True,122.0,1131.63,46.78,,2012,2012,2012,2011.0,abacavir lamivudine,5,Abacavir/Lamivudine,,"Nashik, IN",Mylan,,,,-35.0,0.0,179.0,
9537,85831,104-CI-T30,FPQ-8363,SO-40841,DN-2555,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,2011-08-29,,2012-03-30,2012-02-24,2012-02-24,ARV,Adult,SCMS from RDC,Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,600/200/300mg,Tablet - FDC,30,7140,119452.2,16.73,0.56,Mylan (formerly Matrix) Nashik,True,779.0,4646.14,197.1,,2012,2012,2012,2011.0,efavirenz emtricitabine tenofovir disoproxil fumarate,7,Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,,"Nashik, IN",Mylan,,,,-35.0,0.0,179.0,
9540,85834,151-NG-T30,FPQ-8952,SO-41265,DN-2567,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2011-12-08,,2012-06-20,2012-02-16,2012-02-16,ARV,Adult,SCMS from RDC,Lamivudine,Generic,150mg,Tablet,60,7736,18024.88,2.33,0.04,"Aurobindo Unit III, India",False,1047.0,25231.96,25.27,,2012,2012,2012,2011.0,lamivudine,0,Lamivudine,,"Telangana, IN",Aurobindo,,,,-125.0,0.0,70.0,
9541,85835,114-UG-T30,FPQ-8522,SO-40943,DN-2569,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,2011-10-05,,2012-03-30,2012-02-27,2012-02-27,ARV,Adult,SCMS from RDC,Zidovudine,Generic,300mg,Tablet,60,4398,30873.96,7.02,0.12,Hetero Unit III Hyderabad IN,True,224.0,1933.3,50.94,,2012,2012,2012,2011.0,zidovudine,6,Zidovudine,,"Hyderabad, IN",Hetero,,,,-32.0,0.0,145.0,
9543,85837,114-UG-T30,FPQ-8522,SO-40942,DN-2580,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,2011-10-05,,2012-03-30,2012-03-09,2012-03-09,ARV,Adult,SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,5785,35172.8,6.08,0.2,Mylan (formerly Matrix) Nashik,True,460.0,3571.6,58.04,,2012,2012,2012,2011.0,lamivudine tenofovir disoproxil fumarate,7,Lamivudine/Tenofovir Disoproxil Fumarate,,"Nashik, IN",Mylan,,,,-21.0,0.0,156.0,
9545,85839,109-TZ-T30,FPQ-8303,SO-40502,DN-2593,Tanzania,PMO - US,From RDC,N/A - From RDC,Truck,2011-08-22,,2012-04-30,2012-04-11,2012-04-11,ARV,Pediatric,SCMS from RDC,Lamivudine/Zidovudine,Generic,30/60mg,Tablet - FDC,60,34054,101821.46,2.99,0.05,Mylan (formerly Matrix) Nashik,True,1309.0,3279.25,168.01,,2012,2012,2012,2011.0,lamivudine zidovudine,6,Lamivudine/Zidovudine,,"Nashik, IN",Mylan,,,,-19.0,0.0,233.0,
9547,85841,107-RW-T30,FPQ-9190,SO-41420,DN-2585,Rwanda,PMO - US,From RDC,N/A - From RDC,Air,2012-01-27,,2012-03-12,2012-02-28,2012-02-28,ARV,Pediatric,SCMS from RDC,Efavirenz,Generic,200mg,Capsule,90,2520,21772.8,8.64,0.1,"Aurobindo Unit III, India",True,318.0,2716.08,30.53,,2012,2012,2012,2012.0,efavirenz,2,Efavirenz,,"Telangana, IN",Aurobindo,,,,-13.0,0.0,32.0,
9548,85843,109-TZ-T30,FPQ-8303,SO-40491,DN-2592,Tanzania,PMO - US,From RDC,N/A - From RDC,Truck,2011-08-22,,2012-05-08,2012-04-11,2012-04-11,ARV,Pediatric,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,Chewable/dispersible tablet - FDC,60,5603,23812.75,4.25,0.07,Mylan (formerly Matrix) Nashik,True,316.0,3279.25,39.29,,2012,2012,2012,2011.0,lamivudine nevirapine zidovudine,3,Lamivudine/Nevirapine/Zidovudine,,"Nashik, IN",Mylan,,,,-27.0,0.0,233.0,
9550,85845,102-BI-T30,FPQ-9229,SO-41530,DN-2594,Burundi,PMO - US,From RDC,N/A - From RDC,Air,2012-01-25,,2012-04-26,2012-05-04,2012-05-04,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,10000,110000.0,11.0,0.18,Mylan (formerly Matrix) Nashik,False,1047.0,9506.0,154.22,,2012,2012,2012,2012.0,lamivudine nevirapine zidovudine,3,Lamivudine/Nevirapine/Zidovudine,,"Nashik, IN",Mylan,,,,8.0,0.0,100.0,
9552,85847,114-UG-T30,FPQ-9354,SO-41630,DN-2603,Uganda,PMO - US,From RDC,N/A - From RDC,Air,2012-02-20,,2012-05-03,2012-03-27,2012-03-27,ARV,Adult,SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,12959,78790.72,6.08,0.2,Mylan (formerly Matrix) Nashik,False,1047.0,4322.6,110.46,,2012,2012,2012,2012.0,lamivudine tenofovir disoproxil fumarate,7,Lamivudine/Tenofovir Disoproxil Fumarate,,"Nashik, IN",Mylan,,,,-37.0,0.0,36.0,
9555,85849,114-UG-T30,FPQ-8522,SO-40931,DN-2607,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,2011-10-05,,2012-05-16,2012-03-27,2012-03-27,ARV,Adult,SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,22872,139061.76,6.08,0.2,Mylan (formerly Matrix) Nashik,False,1047.0,55175.61,229.45,,2012,2012,2012,2011.0,lamivudine tenofovir disoproxil fumarate,7,Lamivudine/Tenofovir Disoproxil Fumarate,,"Nashik, IN",Mylan,,,,-50.0,0.0,174.0,
9558,85852,104-CI-T30,FPQ-8363,SO-40830,DN-2612,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,2011-08-29,,2012-04-27,2012-04-19,2012-04-19,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,5,41.3,8.26,0.14,Mylan (formerly Matrix) Nashik,False,1047.0,4029.71,0.07,,2012,2012,2012,2011.0,lamivudine zidovudine,6,Lamivudine/Zidovudine,,"Nashik, IN",Mylan,,,,-8.0,0.0,234.0,
9559,85853,110-ZM-T30,FPQ-8476,SO-40955,DN-2624,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,2011-09-27,,2012-05-15,2012-04-30,2012-04-30,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,887,7096.0,8.0,0.13,"Aurobindo Unit VII, IN",False,1047.0,36650.58,11.71,,2012,2012,2012,2011.0,lamivudine zidovudine,6,Lamivudine/Zidovudine,,"Jedcherla, Hyderaba IN",Aurobindo,,,,-15.0,0.0,216.0,
9560,85854,102-DO-T30,FPQ-9676,SO-41880,DN-2638,Dominican Republic,PMO - US,From RDC,N/A - From RDC,Air,2012-04-09,,2012-05-21,2012-05-04,2012-05-04,ARV,Adult,SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,6263,34697.02,5.54,0.18,Mylan (formerly Matrix) Nashik,False,1047.0,4392.94,48.65,,2012,2012,2012,2012.0,lamivudine tenofovir disoproxil fumarate,7,Lamivudine/Tenofovir Disoproxil Fumarate,,"Nashik, IN",Mylan,,,,-17.0,0.0,25.0,
9562,85856,114-UG-T30,FPQ-9321,SO-41510,DN-2643,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,2012-02-10,,2012-07-03,2012-05-18,2012-05-18,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,3275,33699.75,10.29,0.17,"Strides, Bangalore, India.",False,1047.0,3758.4,47.25,,2012,2012,2012,2012.0,lamivudine nevirapine zidovudine,3,Lamivudine/Nevirapine/Zidovudine,,"Bangalore, IN",Strides,,,,-46.0,0.0,98.0,
9563,85857,114-UG-T30,FPQ-9356,SO-41610,DN-2654,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,2012-02-20,,2012-06-29,2012-05-22,2012-05-22,ARV,Adult,SCMS from RDC,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,917,28261.94,30.82,0.26,ABBVIE Ludwigshafen Germany,False,1047.0,10611.0,39.62,,2012,2012,2012,2012.0,lopinavir ritonavir,8,Lopinavir/Ritonavir,,"Ludwigshafen, DE",Abbvie,,,,-38.0,0.0,92.0,
9565,85861,102-CD-T30,FPQ-9640,SO-41860,DN-2678,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,2012-04-02,,2012-09-03,2012-09-03,2012-09-03,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30,200,824.0,4.12,0.14,"Strides, Bangalore, India.",False,1047.0,2371.06,1.16,,2012,2012,2012,2012.0,efavirenz,2,Efavirenz,,"Bangalore, IN",Strides,,,,0.0,0.0,154.0,
